# Absorcion de rayos X cerca del borde
# Olla-DFT (entonces QEkit 0.12.0) — generado 2026-08-29 01:14 UTC
# comando: olla-dft xanes Si8.cif --collect -o run --element Si --edge K --format png
# parámetros: elemento = Si; borde = K; xgamma_eV = 0.8
#       E-EF(eV)           sigma         sigma_x         sigma_y         sigma_z
     -3.673674       0.000236       0.000236       0.000236       0.000236
     -3.633634       0.000238       0.000238       0.000238       0.000238
     -3.593594       0.000241       0.000241       0.000241       0.000241
     -3.553554       0.000244       0.000244       0.000244       0.000244
     -3.513514       0.000246       0.000246       0.000246       0.000246
     -3.473473       0.000249       0.000249       0.000249       0.000249
     -3.433433       0.000252       0.000252       0.000252       0.000252
     -3.393393       0.000255       0.000255       0.000255       0.000255
     -3.353353       0.000258       0.000258       0.000258       0.000258
     -3.313313       0.000261       0.000261       0.000261       0.000261
     -3.273273       0.000264       0.000264       0.000264       0.000264
     -3.233233       0.000267       0.000267       0.000267       0.000267
     -3.193193       0.000270       0.000270       0.000270       0.000270
     -3.153153       0.000273       0.000273       0.000273       0.000273
     -3.113113       0.000277       0.000277       0.000277       0.000277
     -3.073073       0.000280       0.000280       0.000280       0.000280
     -3.033033       0.000283       0.000283       0.000283       0.000283
     -2.992993       0.000287       0.000287       0.000287       0.000287
     -2.952953       0.000290       0.000290       0.000290       0.000290
     -2.912913       0.000294       0.000294       0.000294       0.000294
     -2.872873       0.000298       0.000298       0.000298       0.000298
     -2.832833       0.000302       0.000302       0.000302       0.000302
     -2.792793       0.000305       0.000305       0.000305       0.000305
     -2.752753       0.000309       0.000309       0.000309       0.000309
     -2.712713       0.000313       0.000313       0.000313       0.000313
     -2.672673       0.000318       0.000318       0.000318       0.000318
     -2.632633       0.000322       0.000322       0.000322       0.000322
     -2.592593       0.000326       0.000326       0.000326       0.000326
     -2.552553       0.000331       0.000331       0.000331       0.000331
     -2.512513       0.000335       0.000335       0.000335       0.000335
     -2.472472       0.000340       0.000340       0.000340       0.000340
     -2.432432       0.000344       0.000344       0.000344       0.000344
     -2.392392       0.000349       0.000349       0.000349       0.000349
     -2.352352       0.000354       0.000354       0.000354       0.000354
     -2.312312       0.000359       0.000359       0.000359       0.000359
     -2.272272       0.000364       0.000364       0.000364       0.000364
     -2.232232       0.000370       0.000370       0.000370       0.000370
     -2.192192       0.000375       0.000375       0.000375       0.000375
     -2.152152       0.000381       0.000381       0.000381       0.000381
     -2.112112       0.000387       0.000387       0.000387       0.000387
     -2.072072       0.000392       0.000392       0.000392       0.000392
     -2.032032       0.000398       0.000398       0.000398       0.000398
     -1.991992       0.000405       0.000405       0.000405       0.000405
     -1.951952       0.000411       0.000411       0.000411       0.000411
     -1.911912       0.000417       0.000417       0.000417       0.000417
     -1.871872       0.000424       0.000424       0.000424       0.000424
     -1.831832       0.000431       0.000431       0.000431       0.000431
     -1.791792       0.000438       0.000438       0.000438       0.000438
     -1.751752       0.000445       0.000445       0.000445       0.000445
     -1.711712       0.000453       0.000453       0.000453       0.000453
     -1.671672       0.000460       0.000460       0.000460       0.000460
     -1.631632       0.000468       0.000468       0.000468       0.000468
     -1.591592       0.000476       0.000476       0.000476       0.000476
     -1.551552       0.000485       0.000485       0.000485       0.000485
     -1.511512       0.000493       0.000493       0.000493       0.000493
     -1.471471       0.000502       0.000502       0.000502       0.000502
     -1.431431       0.000511       0.000511       0.000511       0.000511
     -1.391391       0.000521       0.000521       0.000521       0.000521
     -1.351351       0.000531       0.000531       0.000531       0.000531
     -1.311311       0.000541       0.000541       0.000541       0.000541
     -1.271271       0.000551       0.000551       0.000551       0.000551
     -1.231231       0.000562       0.000562       0.000562       0.000562
     -1.191191       0.000573       0.000573       0.000573       0.000573
     -1.151151       0.000584       0.000584       0.000584       0.000584
     -1.111111       0.000596       0.000596       0.000596       0.000596
     -1.071071       0.000608       0.000608       0.000608       0.000608
     -1.031031       0.000621       0.000621       0.000621       0.000621
     -0.990991       0.000634       0.000634       0.000634       0.000634
     -0.950951       0.000647       0.000647       0.000647       0.000647
     -0.910911       0.000661       0.000661       0.000661       0.000661
     -0.870871       0.000676       0.000676       0.000676       0.000676
     -0.830831       0.000691       0.000691       0.000691       0.000691
     -0.790791       0.000707       0.000707       0.000707       0.000707
     -0.750751       0.000723       0.000723       0.000723       0.000723
     -0.710711       0.000740       0.000740       0.000740       0.000740
     -0.670671       0.000758       0.000758       0.000758       0.000758
     -0.630631       0.000776       0.000776       0.000776       0.000776
     -0.590591       0.000795       0.000795       0.000795       0.000795
     -0.550551       0.000815       0.000815       0.000815       0.000815
     -0.510511       0.000836       0.000836       0.000836       0.000836
     -0.470470       0.000857       0.000857       0.000857       0.000857
     -0.430430       0.000880       0.000880       0.000880       0.000880
     -0.390390       0.000903       0.000903       0.000903       0.000903
     -0.350350       0.000928       0.000928       0.000928       0.000928
     -0.310310       0.000953       0.000953       0.000953       0.000953
     -0.270270       0.000980       0.000980       0.000980       0.000980
     -0.230230       0.001008       0.001008       0.001008       0.001008
     -0.190190       0.001037       0.001037       0.001037       0.001037
     -0.150150       0.001068       0.001068       0.001068       0.001068
     -0.110110       0.001100       0.001100       0.001100       0.001100
     -0.070070       0.001133       0.001133       0.001133       0.001133
     -0.030030       0.001168       0.001168       0.001168       0.001168
      0.010010       0.001205       0.001205       0.001205       0.001205
      0.050050       0.001244       0.001244       0.001244       0.001244
      0.090090       0.001286       0.001286       0.001286       0.001286
      0.130130       0.001329       0.001329       0.001329       0.001329
      0.170170       0.001374       0.001374       0.001374       0.001374
      0.210210       0.001421       0.001421       0.001421       0.001421
      0.250250       0.001470       0.001470       0.001470       0.001470
      0.290290       0.001522       0.001522       0.001522       0.001522
      0.330330       0.001577       0.001577       0.001577       0.001577
      0.370370       0.001633       0.001633       0.001633       0.001633
      0.410410       0.001693       0.001693       0.001693       0.001693
      0.450450       0.001755       0.001755       0.001755       0.001755
      0.490490       0.001820       0.001820       0.001820       0.001820
      0.530531       0.001887       0.001887       0.001887       0.001887
      0.570571       0.001958       0.001958       0.001958       0.001958
      0.610611       0.002031       0.002031       0.002031       0.002031
      0.650651       0.002106       0.002106       0.002106       0.002106
      0.690691       0.002185       0.002185       0.002184       0.002184
      0.730731       0.002265       0.002265       0.002265       0.002265
      0.770771       0.002349       0.002349       0.002349       0.002349
      0.810811       0.002434       0.002434       0.002434       0.002434
      0.850851       0.002522       0.002522       0.002522       0.002522
      0.890891       0.002612       0.002612       0.002612       0.002612
      0.930931       0.002703       0.002703       0.002703       0.002703
      0.970971       0.002796       0.002796       0.002796       0.002796
      1.011011       0.002891       0.002891       0.002891       0.002891
      1.051051       0.002987       0.002987       0.002987       0.002987
      1.091091       0.003083       0.003083       0.003083       0.003083
      1.131131       0.003181       0.003181       0.003181       0.003181
      1.171171       0.003279       0.003279       0.003279       0.003279
      1.211211       0.003377       0.003377       0.003377       0.003377
      1.251251       0.003476       0.003476       0.003476       0.003476
      1.291291       0.003574       0.003574       0.003574       0.003574
      1.331331       0.003671       0.003671       0.003671       0.003671
      1.371371       0.003768       0.003768       0.003768       0.003768
      1.411411       0.003864       0.003864       0.003864       0.003864
      1.451451       0.003958       0.003958       0.003958       0.003958
      1.491491       0.004049       0.004049       0.004049       0.004049
      1.531532       0.004139       0.004139       0.004139       0.004139
      1.571572       0.004225       0.004225       0.004225       0.004225
      1.611612       0.004308       0.004308       0.004308       0.004308
      1.651652       0.004387       0.004387       0.004387       0.004387
      1.691692       0.004462       0.004462       0.004462       0.004462
      1.731732       0.004532       0.004532       0.004532       0.004532
      1.771772       0.004597       0.004597       0.004597       0.004597
      1.811812       0.004657       0.004657       0.004657       0.004657
      1.851852       0.004712       0.004712       0.004712       0.004712
      1.891892       0.004762       0.004762       0.004762       0.004762
      1.931932       0.004808       0.004807       0.004808       0.004808
      1.971972       0.004849       0.004849       0.004849       0.004849
      2.012012       0.004887       0.004887       0.004887       0.004887
      2.052052       0.004923       0.004923       0.004923       0.004923
      2.092092       0.004956       0.004956       0.004956       0.004956
      2.132132       0.004989       0.004989       0.004989       0.004989
      2.172172       0.005021       0.005021       0.005021       0.005021
      2.212212       0.005054       0.005054       0.005054       0.005054
      2.252252       0.005087       0.005087       0.005087       0.005087
      2.292292       0.005122       0.005122       0.005122       0.005122
      2.332332       0.005158       0.005158       0.005158       0.005158
      2.372372       0.005196       0.005196       0.005196       0.005196
      2.412412       0.005236       0.005236       0.005236       0.005236
      2.452452       0.005277       0.005277       0.005277       0.005277
      2.492492       0.005321       0.005321       0.005321       0.005321
      2.532533       0.005365       0.005365       0.005365       0.005365
      2.572573       0.005411       0.005411       0.005411       0.005411
      2.612613       0.005458       0.005458       0.005458       0.005458
      2.652653       0.005505       0.005505       0.005505       0.005505
      2.692693       0.005552       0.005552       0.005552       0.005552
      2.732733       0.005600       0.005600       0.005600       0.005600
      2.772773       0.005647       0.005647       0.005647       0.005647
      2.812813       0.005694       0.005694       0.005694       0.005694
      2.852853       0.005741       0.005741       0.005741       0.005741
      2.892893       0.005786       0.005786       0.005786       0.005786
      2.932933       0.005831       0.005831       0.005831       0.005831
      2.972973       0.005876       0.005876       0.005876       0.005875
      3.013013       0.005919       0.005919       0.005919       0.005919
      3.053053       0.005961       0.005961       0.005961       0.005961
      3.093093       0.006001       0.006001       0.006001       0.006001
      3.133133       0.006041       0.006041       0.006041       0.006041
      3.173173       0.006079       0.006079       0.006079       0.006079
      3.213213       0.006115       0.006115       0.006115       0.006115
      3.253253       0.006150       0.006150       0.006150       0.006150
      3.293293       0.006183       0.006183       0.006183       0.006183
      3.333333       0.006214       0.006214       0.006214       0.006214
      3.373373       0.006242       0.006242       0.006242       0.006242
      3.413413       0.006267       0.006267       0.006267       0.006267
      3.453453       0.006289       0.006289       0.006289       0.006289
      3.493493       0.006307       0.006307       0.006307       0.006307
      3.533534       0.006322       0.006322       0.006322       0.006322
      3.573574       0.006332       0.006332       0.006332       0.006332
      3.613614       0.006338       0.006338       0.006338       0.006338
      3.653654       0.006340       0.006340       0.006340       0.006339
      3.693694       0.006336       0.006337       0.006336       0.006336
      3.733734       0.006329       0.006329       0.006329       0.006329
      3.773774       0.006317       0.006317       0.006317       0.006317
      3.813814       0.006301       0.006301       0.006301       0.006301
      3.853854       0.006282       0.006282       0.006282       0.006282
      3.893894       0.006259       0.006259       0.006259       0.006259
      3.933934       0.006234       0.006234       0.006234       0.006234
      3.973974       0.006206       0.006206       0.006206       0.006206
      4.014014       0.006177       0.006176       0.006177       0.006177
      4.054054       0.006146       0.006145       0.006146       0.006146
      4.094094       0.006113       0.006113       0.006113       0.006114
      4.134134       0.006081       0.006081       0.006081       0.006081
      4.174174       0.006047       0.006047       0.006047       0.006047
      4.214214       0.006014       0.006014       0.006014       0.006014
      4.254254       0.005980       0.005980       0.005980       0.005980
      4.294294       0.005946       0.005946       0.005946       0.005946
      4.334334       0.005911       0.005912       0.005911       0.005911
      4.374374       0.005877       0.005877       0.005877       0.005877
      4.414414       0.005842       0.005842       0.005841       0.005842
      4.454454       0.005806       0.005806       0.005806       0.005806
      4.494494       0.005769       0.005770       0.005769       0.005769
      4.534535       0.005732       0.005732       0.005732       0.005732
      4.574575       0.005694       0.005694       0.005694       0.005694
      4.614615       0.005655       0.005655       0.005655       0.005655
      4.654655       0.005615       0.005615       0.005615       0.005615
      4.694695       0.005574       0.005574       0.005574       0.005574
      4.734735       0.005533       0.005533       0.005533       0.005533
      4.774775       0.005490       0.005490       0.005491       0.005490
      4.814815       0.005448       0.005448       0.005448       0.005448
      4.854855       0.005405       0.005405       0.005405       0.005405
      4.894895       0.005362       0.005362       0.005363       0.005363
      4.934935       0.005320       0.005320       0.005320       0.005320
      4.974975       0.005278       0.005278       0.005278       0.005278
      5.015015       0.005236       0.005236       0.005236       0.005236
      5.055055       0.005195       0.005195       0.005195       0.005196
      5.095095       0.005155       0.005155       0.005155       0.005155
      5.135135       0.005116       0.005116       0.005116       0.005116
      5.175175       0.005077       0.005077       0.005077       0.005078
      5.215215       0.005040       0.005040       0.005040       0.005040
      5.255255       0.005003       0.005003       0.005003       0.005003
      5.295295       0.004967       0.004967       0.004967       0.004967
      5.335335       0.004931       0.004932       0.004931       0.004931
      5.375375       0.004896       0.004897       0.004896       0.004896
      5.415415       0.004862       0.004863       0.004862       0.004862
      5.455455       0.004829       0.004829       0.004829       0.004828
      5.495495       0.004796       0.004796       0.004796       0.004795
      5.535536       0.004763       0.004764       0.004763       0.004763
      5.575576       0.004731       0.004732       0.004732       0.004731
      5.615616       0.004700       0.004700       0.004700       0.004700
      5.655656       0.004670       0.004670       0.004670       0.004670
      5.695696       0.004640       0.004640       0.004640       0.004640
      5.735736       0.004612       0.004611       0.004612       0.004612
      5.775776       0.004584       0.004584       0.004584       0.004584
      5.815816       0.004557       0.004557       0.004557       0.004558
      5.855856       0.004532       0.004532       0.004532       0.004532
      5.895896       0.004508       0.004508       0.004508       0.004508
      5.935936       0.004486       0.004485       0.004486       0.004486
      5.975976       0.004465       0.004464       0.004465       0.004465
      6.016016       0.004445       0.004445       0.004445       0.004445
      6.056056       0.004427       0.004427       0.004427       0.004427
      6.096096       0.004411       0.004411       0.004411       0.004411
      6.136136       0.004396       0.004396       0.004396       0.004396
      6.176176       0.004383       0.004383       0.004384       0.004383
