# Funciones ópticas — Olla-DFT (promedio isótropo)
#      E(eV)         eps1         eps2          n          k    alpha(1/cm)          R
  2.571965e+00   1.550109e+01   2.560461e-01   3.937276e+00   3.251564e-02   8.476194e+03   3.539559e-01
  2.590738e+00   1.562741e+01   2.656513e-01   3.953295e+00   3.359872e-02   8.822462e+03   3.555179e-01
  2.609512e+00   1.575760e+01   2.757448e-01   3.969736e+00   3.473087e-02   9.185832e+03   3.571143e-01
  2.628285e+00   1.589185e+01   2.863650e-01   3.986620e+00   3.591577e-02   9.567560e+03   3.587465e-01
  2.647059e+00   1.603036e+01   2.975545e-01   4.003966e+00   3.715747e-02   9.969039e+03   3.604158e-01
  2.665832e+00   1.617337e+01   3.093607e-01   4.021797e+00   3.846050e-02   1.039181e+04   3.621238e-01
  2.684606e+00   1.632112e+01   3.218363e-01   4.040136e+00   3.982989e-02   1.083760e+04   3.638723e-01
  2.703379e+00   1.647386e+01   3.350408e-01   4.059011e+00   4.127124e-02   1.130832e+04   3.656629e-01
  2.722153e+00   1.663190e+01   3.490406e-01   4.078447e+00   4.279087e-02   1.180612e+04   3.674977e-01
  2.740926e+00   1.679554e+01   3.639108e-01   4.098476e+00   4.439587e-02   1.233342e+04   3.693786e-01
  2.759700e+00   1.696511e+01   3.797366e-01   4.119131e+00   4.609427e-02   1.289295e+04   3.713080e-01
  2.778473e+00   1.714101e+01   3.966150e-01   4.140447e+00   4.789518e-02   1.348781e+04   3.732884e-01
  2.797247e+00   1.732364e+01   4.146567e-01   4.162465e+00   4.980903e-02   1.412155e+04   3.753224e-01
  2.816020e+00   1.751344e+01   4.339894e-01   4.185228e+00   5.184777e-02   1.479821e+04   3.774131e-01
  2.834793e+00   1.771093e+01   4.547606e-01   4.208783e+00   5.402520e-02   1.552249e+04   3.795636e-01
  2.853567e+00   1.791666e+01   4.771421e-01   4.233183e+00   5.635737e-02   1.629980e+04   3.817775e-01
  2.872340e+00   1.813125e+01   5.013354e-01   4.258488e+00   5.886308e-02   1.713651e+04   3.840588e-01
  2.891114e+00   1.835540e+01   5.275785e-01   4.284762e+00   6.156451e-02   1.804011e+04   3.864120e-01
  2.909887e+00   1.858988e+01   5.561556e-01   4.312080e+00   6.448808e-02   1.901950e+04   3.888419e-01
  2.928661e+00   1.883557e+01   5.874085e-01   4.340524e+00   6.766561e-02   2.008541e+04   3.913541e-01
  2.947434e+00   1.909349e+01   6.217539e-01   4.370189e+00   7.113581e-02   2.125083e+04   3.939550e-01
  2.966208e+00   1.936478e+01   6.597059e-01   4.401181e+00   7.494647e-02   2.253182e+04   3.966516e-01
  2.984981e+00   1.965074e+01   7.019086e-01   4.433623e+00   7.915745e-02   2.394842e+04   3.994522e-01
  3.003755e+00   1.995291e+01   7.491827e-01   4.467655e+00   8.384520e-02   2.552620e+04   4.023660e-01
  3.022528e+00   2.027303e+01   8.025967e-01   4.503440e+00   8.910930e-02   2.729838e+04   4.054039e-01
  3.041302e+00   2.061315e+01   8.635743e-01   4.541166e+00   9.508288e-02   2.930929e+04   4.085784e-01
  3.060075e+00   2.097563e+01   9.340682e-01   4.581050e+00   1.019491e-01   3.161980e+04   4.119039e-01
  3.078849e+00   2.136316e+01   1.016846e+00   4.623338e+00   1.099688e-01   3.431637e+04   4.153968e-01
  3.097622e+00   2.177865e+01   1.115975e+00   4.668291e+00   1.195271e-01   3.752653e+04   4.190743e-01
  3.116395e+00   2.222484e+01   1.237657e+00   4.716148e+00   1.312148e-01   4.144565e+04   4.229523e-01
  3.135169e+00   2.270302e+01   1.391582e+00   4.767003e+00   1.459598e-01   4.638076e+04   4.270365e-01
  3.153942e+00   2.320986e+01   1.592508e+00   4.820493e+00   1.651810e-01   5.280285e+04   4.313012e-01
  3.172716e+00   2.373122e+01   1.858621e+00   4.875198e+00   1.906201e-01   6.129758e+04   4.356477e-01
  3.191489e+00   2.423965e+01   2.192789e+00   4.928402e+00   2.224645e-01   7.196107e+04   4.398818e-01
  3.210263e+00   2.472134e+01   2.539345e+00   4.978592e+00   2.550265e-01   8.297922e+04   4.438664e-01
  3.229036e+00   2.522545e+01   2.809401e+00   5.030252e+00   2.792505e-01   9.139248e+04   4.478609e-01
  3.247810e+00   2.584391e+01   3.028396e+00   5.092379e+00   2.973459e-01   9.788047e+04   4.525132e-01
  3.266583e+00   2.661680e+01   3.347227e+00   5.169296e+00   3.237605e-01   1.071917e+05   4.582165e-01
  3.285357e+00   2.750253e+01   3.890085e+00   5.257319e+00   3.699685e-01   1.231944e+05   4.647802e-01
  3.304130e+00   2.841554e+01   4.725804e+00   5.348896e+00   4.417551e-01   1.479389e+05   4.717613e-01
  3.322904e+00   2.926326e+01   5.856210e+00   5.436301e+00   5.386208e-01   1.814030e+05   4.787333e-01
  3.341677e+00   3.000187e+01   7.214474e+00   5.516293e+00   6.539241e-01   2.214804e+05   4.855367e-01
  3.360451e+00   3.060397e+01   8.871517e+00   5.588732e+00   7.936968e-01   2.703309e+05   4.924104e-01
  3.379224e+00   3.087567e+01   1.106341e+01   5.642412e+00   9.803799e-01   3.357801e+05   4.993732e-01
  3.397997e+00   3.047160e+01   1.367448e+01   5.651144e+00   1.209886e+00   4.166882e+05   5.053870e-01
  3.416771e+00   2.923213e+01   1.609378e+01   5.594715e+00   1.438302e+00   4.980918e+05   5.087937e-01
  3.435544e+00   2.733678e+01   1.778455e+01   5.474920e+00   1.624184e+00   5.655542e+05   5.085633e-01
  3.454318e+00   2.511100e+01   1.853944e+01   5.306804e+00   1.746762e+00   6.115605e+05   5.043492e-01
  3.473091e+00   2.293972e+01   1.819770e+01   5.109838e+00   1.780653e+00   6.268145e+05   4.953352e-01
  3.491865e+00   2.129506e+01   1.680532e+01   4.920493e+00   1.707687e+00   6.043787e+05   4.816227e-01
  3.510638e+00   2.055408e+01   1.485404e+01   4.791333e+00   1.550095e+00   5.515538e+05   4.667755e-01
  3.529412e+00   2.078499e+01   1.302537e+01   4.759941e+00   1.368228e+00   4.894455e+05   4.567668e-01
  3.548185e+00   2.178635e+01   1.180793e+01   4.825290e+00   1.223546e+00   4.400178e+05   4.552476e-01
  3.566959e+00   2.322140e+01   1.151447e+01   4.956855e+00   1.161469e+00   4.199033e+05   4.616960e-01
  3.585732e+00   2.464892e+01   1.232690e+01   5.109224e+00   1.206337e+00   4.384198e+05   4.729752e-01
  3.604506e+00   2.556233e+01   1.416337e+01   5.233841e+00   1.353057e+00   4.943168e+05   4.855106e-01
  3.623279e+00   2.548520e+01   1.662333e+01   5.287374e+00   1.571983e+00   5.772889e+05   4.964670e-01
  3.642053e+00   2.427702e+01   1.869688e+01   5.240194e+00   1.783987e+00   6.585390e+05   5.023868e-01
  3.660826e+00   2.254004e+01   1.924687e+01   5.107811e+00   1.884063e+00   6.990657e+05   4.999090e-01
  3.679599e+00   2.116479e+01   1.854286e+01   4.965052e+00   1.867338e+00   6.964132e+05   4.916606e-01
  3.698373e+00   2.042805e+01   1.763604e+01   4.869073e+00   1.811027e+00   6.788582e+05   4.837413e-01
  3.717146e+00   2.021517e+01   1.670933e+01   4.818825e+00   1.733755e+00   6.531922e+05   4.771330e-01
  3.735920e+00   2.049171e+01   1.595625e+01   4.819911e+00   1.655243e+00   6.267623e+05   4.733948e-01
  3.754693e+00   2.093964e+01   1.599983e+01   4.862731e+00   1.645149e+00   6.260705e+05   4.754071e-01
  3.773467e+00   2.102054e+01   1.658857e+01   4.888671e+00   1.696634e+00   6.488915e+05   4.793056e-01
  3.792240e+00   2.074844e+01   1.665602e+01   4.865964e+00   1.711482e+00   6.578269e+05   4.787217e-01
  3.811014e+00   2.072054e+01   1.593985e+01   4.840601e+00   1.646475e+00   6.359737e+05   4.741835e-01
  3.829787e+00   2.124495e+01   1.531514e+01   4.870045e+00   1.572382e+00   6.103463e+05   4.725080e-01
  3.848561e+00   2.199220e+01   1.537455e+01   4.940933e+00   1.555835e+00   6.068836e+05   4.759759e-01
  3.867334e+00   2.263503e+01   1.568966e+01   5.008797e+00   1.566210e+00   6.139108e+05   4.803971e-01
  3.886108e+00   2.337871e+01   1.573541e+01   5.077385e+00   1.549558e+00   6.103321e+05   4.836874e-01
  3.904881e+00   2.446270e+01   1.609801e+01   5.183965e+00   1.552673e+00   6.145135e+05   4.899206e-01
  3.923655e+00   2.543816e+01   1.764590e+01   5.310248e+00   1.661495e+00   6.607442e+05   5.011485e-01
  3.942428e+00   2.549076e+01   2.002726e+01   5.380887e+00   1.860963e+00   7.436096e+05   5.128093e-01
  3.961202e+00   2.454906e+01   2.156407e+01   5.349028e+00   2.015700e+00   8.092753e+05   5.178146e-01
  3.979975e+00   2.366618e+01   2.124670e+01   5.266424e+00   2.017185e+00   8.137098e+05   5.139108e-01
  3.998748e+00   2.378983e+01   2.033216e+01   5.248068e+00   1.937109e+00   7.850941e+05   5.094203e-01
  4.017522e+00   2.468564e+01   2.041678e+01   5.325430e+00   1.916914e+00   7.805567e+05   5.123860e-01
  4.036295e+00   2.546884e+01   2.170370e+01   5.428211e+00   1.999157e+00   8.178496e+05   5.208837e-01
  4.055069e+00   2.569850e+01   2.316537e+01   5.490759e+00   2.109487e+00   8.669990e+05   5.284867e-01
  4.073842e+00   2.575806e+01   2.397108e+01   5.520170e+00   2.171227e+00   8.965054e+05   5.324549e-01
  4.092616e+00   2.610786e+01   2.465338e+01   5.568492e+00   2.213649e+00   9.182339e+05   5.363968e-01
  4.111389e+00   2.666416e+01   2.585599e+01   5.648270e+00   2.288841e+00   9.537791e+05   5.430044e-01
  4.130163e+00   2.711516e+01   2.761681e+01   5.736642e+00   2.407053e+00   1.007619e+06   5.516169e-01
  4.148936e+00   2.724655e+01   2.977235e+01   5.813972e+00   2.560414e+00   1.076690e+06   5.610932e-01
  4.167710e+00   2.702631e+01   3.203787e+01   5.871161e+00   2.728410e+00   1.152526e+06   5.703275e-01
